# TA_all_positions_ITRF00.csv
# All Telescope Array positions in WGS84/ITRF00
# ENU coordinates relative to CLF ground origin (ITRF00)
#   Origin: lat=39.296917698, lon=-112.908732386, h=1370.017 m
#
# outlier=1: flagged for review
# sigma_h, sigma_horizontal: estimated uncertainties (m)
#
category,site,name,latitude,longitude,h_itrf00,sigma_h,east_clf,north_clf,up_clf,sigma_horizontal,frame,source,outlier,notes
Surface Detector,TA SD,TA_1210,39.227000,-112.912000,1377.618000,1.000000,-281.500000,-7783.200000,7.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_1211,39.238000,-112.912000,1374.650000,1.000000,-281.500000,-6558.700000,4.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.8m
Surface Detector,TA SD,TA_1212,39.249000,-112.912000,1373.731000,1.000000,-281.500000,-5334.200000,3.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.3m
Surface Detector,TA SD,TA_1213,39.260000,-112.912000,1372.943000,1.000000,-281.500000,-4109.700000,2.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.8m
Surface Detector,TA SD,TA_1214,39.271000,-112.912000,1376.524000,1.000000,-281.500000,-2885.100000,6.500000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1215,39.281000,-112.912000,1372.406000,1.000000,-281.500000,-1772.000000,2.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.2m
Surface Detector,TA SD,TA_1216,39.292000,-112.912000,1372.297000,1.000000,-281.500000,-547.400000,2.300000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.3m
Surface Detector,TA SD,TA_1217,39.303000,-112.912000,1371.379000,1.000000,-281.500000,677.100000,1.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1218,39.314000,-112.912000,1372.061000,1.000000,-281.500000,1901.600000,2.000000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.0m
Surface Detector,TA SD,TA_1219,39.325000,-112.912000,1371.756000,1.000000,-281.500000,3126.100000,1.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.3m
Surface Detector,TA SD,TA_1220,39.335000,-112.912000,1371.082000,1.000000,-281.500000,4239.300000,1.100000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.8m
Surface Detector,TA SD,TA_1221,39.346000,-112.912000,1373.592000,1.000000,-281.500000,5463.800000,3.600000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_1222,39.357000,-112.912000,1380.033000,1.000000,-281.500000,6688.300000,10.000000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.7m
Surface Detector,TA SD,TA_1223,39.368000,-112.912000,1386.677000,1.000000,-281.500000,7912.800000,16.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.5m
Surface Detector,TA SD,TA_1224,39.379000,-112.912000,1399.193000,1.000000,-281.500000,9137.400000,29.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=4.5m
Surface Detector,TA SD,TA_1225,39.390000,-112.912000,1409.409000,1.000000,-281.500000,10361.900000,39.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.5m
