# SD_corrected_positions.csv
# Corrected SD positions in WGS84/ITRF, consistent with FD telescope positions
# Generated from TA_TALE_TAx4 GPS & NED.xlsx (Kido/Okuda analysis)
#
# Height correction: h_itrf = H_NED + N_geoid + h_antenna - 0.73
#   H_NED:      USGS NED orthometric height (NAVD88)
#   N_geoid:    GEOID12B undulation (NAD83 ellipsoid to NAVD88 geoid)
#   h_antenna:  SD GPS antenna height above ground (0.89 m)
#   -0.73:      NAD83 to WGS84/ITRF frame correction
#
# Horizontal coordinates: from Motorola Oncore GPS (WGS84, minimal iono effect)
# Vertical coordinate:    from NED + geoid (avoids ~5.3 m L1 ionospheric bias)
#
# outlier: 1 = outside IQR fences, likely DEM interpolation error on slopes
# iono_residual: h_gps - h_itrf (measures ionospheric height bias per station)
#
array,site,latitude,longitude,h_itrf_corrected,h_gps_raw,h_ned_ortho,N_geoid,iono_residual,outlier
TA,1009,39.217,-112.940,1373.952,1379.640,1393.830,-20.038,5.688,0
TA,1010,39.227,-112.940,1376.885,1382.120,1396.750,-20.025,5.235,0
TA,1011,39.238,-112.940,1377.408,1383.120,1397.260,-20.012,5.712,0
TA,1012,39.249,-112.940,1377.421,1382.860,1397.260,-19.999,5.439,0
TA,1013,39.260,-112.940,1378.285,1383.310,1398.110,-19.985,5.025,0
TA,1014,39.271,-112.940,1378.629,1384.010,1398.440,-19.971,5.381,0
TA,1015,39.281,-112.940,1383.714,1390.070,1403.510,-19.956,6.356,0
TA,1016,39.292,-112.940,1383.558,1390.060,1403.340,-19.942,6.502,0
TA,1017,39.303,-112.940,1382.673,1387.690,1402.440,-19.927,5.017,0
TA,1018,39.314,-112.940,1381.339,1386.370,1401.090,-19.911,5.031,0
TA,1019,39.325,-112.940,1380.487,1386.050,1400.220,-19.893,5.563,0
TA,1020,39.335,-112.940,1386.707,1392.110,1406.420,-19.873,5.403,0
TA,1021,39.346,-112.940,1402.221,1407.990,1421.910,-19.849,5.769,0
TA,1022,39.357,-112.940,1411.688,1416.690,1431.350,-19.822,5.002,0
TA,1023,39.368,-112.940,1429.577,1434.890,1449.210,-19.793,5.313,0
TA,1024,39.379,-112.940,1440.756,1445.350,1460.360,-19.764,4.594,0
TA,1025,39.390,-112.940,1449.076,1453.960,1468.650,-19.734,4.884,0
TA,1101,39.130,-112.926,1366.536,1371.800,1386.470,-20.094,5.264,0
TA,1102,39.139,-112.928,1366.734,1373.110,1386.670,-20.096,6.376,0
TA,1103,39.152,-112.926,1367.943,1373.430,1387.870,-20.087,5.487,0
TA,1104,39.162,-112.926,1367.291,1372.610,1387.210,-20.079,5.319,0
TA,1105,39.173,-112.926,1367.269,1372.960,1387.180,-20.071,5.691,0
TA,1106,39.184,-112.926,1368.770,1373.390,1388.670,-20.060,4.620,0
TA,1107,39.195,-112.926,1370.082,1375.340,1389.970,-20.048,5.258,0
TA,1108,39.206,-112.926,1370.695,1375.860,1390.570,-20.035,5.165,0
TA,1109,39.217,-112.926,1370.708,1375.780,1390.570,-20.022,5.072,0
TA,1110,39.227,-112.926,1371.520,1377.310,1391.370,-20.010,5.790,0
TA,1111,39.238,-112.926,1374.143,1379.820,1393.980,-19.997,5.677,0
TA,1112,39.249,-112.926,1374.725,1379.500,1394.550,-19.985,4.775,0
TA,1113,39.260,-112.926,1374.568,1380.350,1394.380,-19.972,5.782,0
TA,1114,39.271,-112.926,1374.891,1381.160,1394.690,-19.959,6.269,0
TA,1115,39.281,-112.926,1376.674,1381.820,1396.460,-19.946,5.146,0
TA,1116,39.292,-112.926,1377.867,1383.960,1397.640,-19.933,6.093,0
TA,1117,39.303,-112.926,1374.350,1379.860,1394.110,-19.920,5.510,0
TA,1118,39.314,-112.926,1374.495,1379.820,1394.240,-19.905,5.325,0
TA,1119,39.325,-112.926,1373.940,1379.040,1393.670,-19.890,5.100,0
TA,1120,39.336,-112.926,1375.979,1381.100,1395.690,-19.871,5.121,0
TA,1121,39.346,-112.926,1384.060,1389.920,1403.750,-19.850,5.860,0
TA,1122,39.357,-112.926,1392.145,1398.160,1411.810,-19.825,6.015,0
TA,1123,39.368,-112.926,1398.891,1406.420,1418.530,-19.799,7.529,1
TA,1124,39.379,-112.926,1414.478,1420.460,1434.090,-19.772,5.982,0
TA,1125,39.390,-112.926,1426.386,1431.270,1445.970,-19.744,4.884,0
TA,1126,39.400,-112.926,1438.514,1444.270,1458.070,-19.716,5.756,0
TA,1201,39.130,-112.912,1367.860,1373.580,1387.770,-20.070,5.720,0
TA,1202,39.140,-112.910,1369.495,1374.260,1389.400,-20.065,4.765,0
TA,1203,39.152,-112.912,1368.865,1373.880,1388.770,-20.065,5.015,0
