name1,name2,ref,S,H,V
BR_M01,MD_M10,OPUS,39906.184,39905.740,188.308
BR_M01,MD_M11,OPUS,39902.730,39902.285,188.418
BR_M01,MD_M12,OPUS,39900.856,39900.412,188.321
BR_M01,MD_M13,OPUS,39896.418,39895.973,188.436
BR_M01,MD_M14,OPUS,39894.176,39893.731,188.344
BR_M01,MD_M02,OPUS,39907.774,39907.329,188.325
BR_M01,MD_M03,OPUS,39909.917,39909.473,188.420
BR_M01,MD_M04,OPUS,39910.588,39910.144,188.316
BR_M01,MD_M05,OPUS,39911.329,39910.885,188.403
BR_M01,MD_M06,OPUS,39911.307,39910.862,188.301
BR_M01,MD_M07,OPUS,39910.496,39910.051,188.401
BR_M01,MD_M08,OPUS,39909.777,39909.333,188.296
BR_M01,MD_M09,OPUS,39907.545,39907.100,188.417
BR_M01,MD_MD2,OPUS,39722.722,39722.305,182.065
BR_M01,MD_CXF,OPUS,39885.244,39884.799,188.489
BR_M01,MD_M01,OPUS,39906.470,39906.025,188.430
BR_M01,MD_M10,OPUS,39906.187,39905.743,188.304
BR_M01,MD_M11,OPUS,39902.731,39902.286,188.415
BR_M01,MD_M12,OPUS,39900.857,39900.412,188.317
BR_M01,MD_M13,OPUS,39896.421,39895.976,188.434
BR_M01,MD_M02,OPUS,39907.776,39907.332,188.324
BR_M01,MD_M03,OPUS,39909.921,39909.477,188.417
BR_M01,MD_M04,OPUS,39910.591,39910.147,188.314
BR_M01,MD_M06,OPUS,39911.307,39910.863,188.298
BR_M01,MD_M07,OPUS,39910.496,39910.051,188.399
BR_M01,MD_M08,OPUS,39909.778,39909.333,188.294
BR_M01,MD_M09,OPUS,39907.543,39907.099,188.414
BR_M01,MD_MD2,OPUS,39722.716,39722.298,182.065
BR_M02,BR_M04,OPUS,12.057,12.057,0.019
BR_M02,BR_M04,OPUS,12.061,12.061,0.022
BR_M02,BR_M05,OPUS,12.647,12.003,3.986
BR_M02,BR_BR2,OPUS,76.903,76.883,1.748
BR_M02,BR_ELS,OPUS,104.968,104.961,1.251
BR_M02,BR_BR2,OPUS,76.903,76.883,1.747
BR_M02,BR_M00,OPUS,4.421,4.421,0.012
BR_M02,BR_M00,OPUS,4.422,4.420,0.125
BR_M02,BR_M00,OPUS,4.423,4.421,0.122
BR_M02,BR_M02,OPUS,0.006,0.004,0.005
BR_M02,BR_M02,OPUS,0.004,0.004,0.002
BR_M02,BR_M02,OPUS,0.004,0.004,0.002
BR_M02,BR_M03,OPUS,3.986,0.379,3.968
BR_M02,BR_BR2,OPUS,76.904,76.884,1.752
BR_M02,BR_M00,OPUS,4.426,4.426,0.009
BR_M02,BR_M00,OPUS,4.432,4.432,0.013
BR_M02,BR_M01,OPUS,6.000,4.492,3.978
BR_M02,BR_M02,OPUS,0.004,0.004,0.001
BR_M02,BR_M03,OPUS,3.980,0.378,3.962
BR_M02,BR_M04,OPUS,12.066,12.066,0.020
BR_M02,BR_M04,OPUS,12.061,12.061,0.020
BR_M02,BR_M04,OPUS,12.066,12.066,0.024
BR_M02,BR_M05,OPUS,12.650,12.006,3.984
BR_M02,BR_M05,OPUS,12.648,12.004,3.985
BR_M02,BR2_BR1,OPUS,69.230,69.216,1.366
BR_M02,BR2_ELS,OPUS,65.983,65.973,1.128
BR_M02,BR2_BR1,OPUS,69.230,69.217,1.370
BR_M02,BR2_M10,OPUS,15.229,15.229,0.028
BR_M02,BR2_M10,OPUS,15.202,15.202,0.029
BR_M02,BR2_M10,OPUS,15.252,15.252,0.029
BR_M02,BR2_M10,OPUS,15.228,15.228,0.031
BR_M02,BR2_M11,OPUS,15.464,14.940,3.992
BR_M02,BR2_M06,OPUS,8.052,8.052,0.021
BR_M02,BR2_M06,OPUS,8.010,8.010,0.028
BR_M02,BR2_M07,OPUS,8.780,7.789,4.051
BR_M02,BR2_M07,OPUS,8.743,7.784,3.982
BR_M02,BR2_M07,OPUS,8.758,7.796,3.990
BR_M02,BR2_M08,OPUS,18.566,18.566,0.021
BR_M02,BR2_M09,OPUS,18.828,18.401,3.987
BR_M02,BR2_M09,OPUS,18.833,18.405,3.993
BR_M02,BR2_BR1,OPUS,69.230,69.217,1.375
BR_M02,BR2_M10,OPUS,15.222,15.222,0.024
BR_M02,BR2_M11,OPUS,15.455,14.932,3.987
BR_M02,BR2_M06,OPUS,8.022,8.022,0.015
BR_M02,BR2_M07,OPUS,8.739,7.778,3.984
BR_M02,BR2_M08,OPUS,18.563,18.563,0.014
BR_M02,CLF_CLF2,OPUS,10278819.821,6074117.232,8292118.955
BR_M02,CLF_CLF,OPUS,10278931.309,6074060.320,8292298.842
BR_M02,CLF_CLF,OPUS,10278931.311,6074060.319,8292298.846
BR_M02,CLF_CLF2,OPUS,10278819.779,6074117.184,8292118.938
BR_M02,LR_LR2,OPUS,35413.048,35412.764,141.930
BR_M02,LR_M10,OPUS,35456.052,35455.743,148.042
BR_M02,LR_M11,OPUS,35456.376,35456.051,151.988
BR_M02,LR_M11,OPUS,35456.369,35456.043,151.991
BR_M02,LR_M11,OPUS,35456.385,35456.060,151.987
BR_M02,LR_M06,OPUS,35458.078,35457.769,148.051
BR_M02,LR_M07,OPUS,35458.439,35458.113,151.999
BR_M02,LR_M08,OPUS,35457.061,35456.752,148.035
BR_M02,LR_M09,OPUS,35457.441,35457.115,151.992
BR_M02,LR2_LR1,OPUS,35388.627,35388.344,141.407
BR_M02,LR2_M00,OPUS,35460.467,35460.158,148.034
BR_M02,LR2_M01,OPUS,35460.592,35460.266,151.987
BR_M02,LR2_M01,OPUS,35460.591,35460.265,151.988
BR_M02,LR2_M01,OPUS,35460.592,35460.267,151.980
BR_M02,LR2_M02,OPUS,35464.254,35463.945,148.027
BR_M02,LR2_M03,OPUS,35464.501,35464.175,151.980
BR_M02,LR2_M04,OPUS,35456.357,35456.048,148.039
BR_M02,LR2_M05,OPUS,35456.672,35456.346,151.991
BR_M02,LR2_M05,OPUS,35456.683,35456.357,151.988
BR_M02,LR2_M05,OPUS,35456.669,35456.344,151.995
BR_M02,MD_MD2,OPUS,39726.499,39726.063,186.046
BR_M02,MD_CXF,OPUS,39889.036,39888.572,192.471
BR_M02,MD_M01,OPUS,39910.241,39909.778,192.412
BR_M02,MD_M10,OPUS,39909.978,39909.515,192.287
BR_M02,MD_M11,OPUS,39906.524,39906.061,192.397
BR_M02,MD_M12,OPUS,39904.651,39904.187,192.300
BR_M02,MD_M13,OPUS,39900.212,39899.748,192.415
BR_M02,MD_M14,OPUS,39897.970,39897.507,192.323
BR_M02,MD_M02,OPUS,39911.566,39911.102,192.304
BR_M02,MD_M03,OPUS,39913.710,39913.246,192.399
BR_M02,MD_M04,OPUS,39914.381,39913.917,192.295
BR_M02,MD_M05,OPUS,39915.122,39914.658,192.382
BR_M02,MD_M06,OPUS,39915.100,39914.636,192.280
BR_M02,MD_M07,OPUS,39914.289,39913.826,192.380
BR_M02,MD_M08,OPUS,39913.571,39913.108,192.275
BR_M02,MD_M09,OPUS,39911.339,39910.875,192.396
BR_M02,MD_MD2,OPUS,39726.523,39726.087,186.043
BR_M02,MD_CXF,OPUS,39889.037,39888.573,192.467
BR_M02,MD_M01,OPUS,39910.262,39909.798,192.409
BR_M02,MD_M10,OPUS,39909.981,39909.518,192.283
BR_M02,MD_M11,OPUS,39906.525,39906.062,192.394
BR_M02,MD_M12,OPUS,39904.651,39904.188,192.296
BR_M02,MD_M13,OPUS,39900.215,39899.751,192.412
BR_M02,MD_M02,OPUS,39911.569,39911.105,192.303
BR_M02,MD_M03,OPUS,39913.714,39913.250,192.396
BR_M02,MD_M04,OPUS,39914.384,39913.921,192.293
BR_M02,MD_M06,OPUS,39915.100,39914.637,192.277
BR_M02,MD_M07,OPUS,39914.289,39913.826,192.378
BR_M02,MD_M08,OPUS,39913.571,39913.108,192.273
BR_M02,MD_M09,OPUS,39911.337,39910.873,192.392
BR_M02,MD_MD2,OPUS,39726.516,39726.081,186.043
BR_M04,BR_M04,OPUS,0.005,0.004,0.003
BR_M04,BR_M05,OPUS,3.984,0.368,3.967
BR_M04,BR_BR2,OPUS,68.278,68.255,1.767
BR_M04,BR_ELS,OPUS,99.282,99.275,1.232
BR_M04,BR_BR2,OPUS,68.278,68.255,1.766
BR_M04,BR_M00,OPUS,7.969,7.969,0.007
BR_M04,BR_M00,OPUS,7.971,7.970,0.106
BR_M04,BR_M00,OPUS,7.969,7.969,0.103
BR_M04,BR_M02,OPUS,12.059,12.059,0.014
BR_M04,BR_M02,OPUS,12.059,12.059,0.017
BR_M04,BR_M02,OPUS,12.059,12.059,0.017
BR_M04,BR_M03,OPUS,12.654,12.023,3.949
BR_M04,BR_BR2,OPUS,68.279,68.256,1.770
BR_M04,BR_M00,OPUS,7.964,7.964,0.010
BR_M04,BR_M00,OPUS,7.973,7.973,0.006
BR_M04,BR_M01,OPUS,8.703,7.750,3.959
BR_M04,BR_M02,OPUS,12.056,12.056,0.018
BR_M04,BR_M03,OPUS,12.642,12.011,3.943
BR_M04,BR_M04,OPUS,0.009,0.009,0.001
BR_M04,BR_M04,OPUS,0.031,0.031,0.001
BR_M04,BR_M04,OPUS,0.020,0.019,0.005
BR_M04,BR_M05,OPUS,3.982,0.367,3.965
BR_M04,BR_M05,OPUS,3.984,0.371,3.967
BR_M04,BR2_BR1,OPUS,70.178,70.165,1.385
BR_M04,BR2_ELS,OPUS,63.306,63.296,1.110
BR_M04,BR2_BR1,OPUS,70.179,70.165,1.389
BR_M04,BR2_M10,OPUS,3.711,3.711,0.010
BR_M04,BR2_M10,OPUS,3.697,3.696,0.010
BR_M04,BR2_M10,OPUS,3.722,3.722,0.010
BR_M04,BR2_M10,OPUS,3.710,3.710,0.013
BR_M04,BR2_M11,OPUS,5.344,3.574,3.973
BR_M04,BR2_M06,OPUS,4.344,4.344,0.002
BR_M04,BR2_M06,OPUS,4.368,4.368,0.010
BR_M04,BR2_M07,OPUS,6.012,4.460,4.032
BR_M04,BR2_M07,OPUS,5.969,4.464,3.963
BR_M04,BR2_M07,OPUS,5.969,4.456,3.972
BR_M04,BR2_M08,OPUS,8.022,8.022,0.003
